name,url,description,size,stars,watchers,language,forks,commits,authors,lines_of_code,lines_of_comments,lines_blank
benmccormick_benmccormickorg,https://github.com/benmccormick/benmccormickorg,benmccormick.org rewritten as a static site,367981,9,9,JavaScript,3,851,4,-1,-1,-1
turingschool-examples_brownfield-of-dreams,https://github.com/turingschool-examples/brownfield-of-dreams,Rails app used for hosting video tutorials and classes. Serves as the base repository for a B3 project.,395,1,1,JavaScript,53,902,31,-1,-1,-1
Forum-Informationsfreiheit_OffenesParlament,https://github.com/Forum-Informationsfreiheit/OffenesParlament,OffenesParlament.at,7834,22,22,JavaScript,14,847,19,-1,-1,-1
h5p_h5p-editor-php-library,https://github.com/h5p/h5p-editor-php-library,,12514,21,21,JavaScript,63,1791,76,-1,-1,-1
webgme_webgme,https://github.com/webgme/webgme,Web-based Generic Modeling Environment,137434,88,88,JavaScript,37,9679,53,-1,-1,-1
pimmesz_whatsapp-playlist,https://github.com/pimmesz/whatsapp-playlist,,11868,2,2,JavaScript,0,2446,197,-1,-1,-1
UummProject_uumm-prototype,https://github.com/UummProject/uumm-prototype,Đecentralized Contribution Based Governance on Ethereum,11691,17,17,JavaScript,2,508,4,-1,-1,-1
calvinjkelly_urban-impact,https://github.com/calvinjkelly/urban-impact,,3908,1,1,JavaScript,0,2213,221,-1,-1,-1
ExplorViz_explorviz-frontend,https://github.com/ExplorViz/explorviz-frontend,"ExplorViz is a monitoring and visualization approach, which uses dynamic analysis techniques to provide a live trace visualization of large software landscapes. This repository contains the frontend.",4007,4,4,JavaScript,2,1420,27,-1,-1,-1
tryton_sao,https://github.com/tryton/sao,Mirror of Tryton web client - Sao,8196,67,67,JavaScript,26,2557,16,-1,-1,-1
gabriel-hook_contest-of-champions,https://github.com/gabriel-hook/contest-of-champions,,39812,18,18,JavaScript,48,2561,25,-1,-1,-1
jonathan-annett_pirple4,https://github.com/jonathan-annett/pirple4,,1712,0,0,JavaScript,0,1082,1,-1,-1,-1
keithbooher_ProjThree,https://github.com/keithbooher/ProjThree,,4569,3,3,JavaScript,1,574,9,-1,-1,-1
phamhieu2212_doctor,https://github.com/phamhieu2212/doctor,,36705,0,0,JavaScript,0,722,10,-1,-1,-1
predictionmachines_InteractiveDataDisplay,https://github.com/predictionmachines/InteractiveDataDisplay,Interactive Data Display for JavaScript,14270,81,81,JavaScript,26,764,34,-1,-1,-1
GithubberSamLee_StandardNotes,https://github.com/GithubberSamLee/StandardNotes,,2542,0,0,JavaScript,0,508,4,-1,-1,-1
ScratchExtension_scratch-vm,https://github.com/ScratchExtension/scratch-vm,,13425,0,0,JavaScript,0,2829,67,-1,-1,-1
Navarik_airbnb-datepicker,https://github.com/Navarik/airbnb-datepicker,,2356,0,0,JavaScript,0,1127,142,-1,-1,-1
teambit_bit-javascript,https://github.com/teambit/bit-javascript,A javascript driver for bit,1383,26,26,JavaScript,6,846,17,-1,-1,-1
jeffg2k_SmartCopy,https://github.com/jeffg2k/SmartCopy,Chrome extension for copying genealogical data into Geni.com.,2578,8,8,JavaScript,8,622,10,-1,-1,-1
signmeup_signmeup,https://github.com/signmeup/signmeup,Real-time application to sign up for and manage TA hours. ,1632,70,70,JavaScript,26,799,15,-1,-1,-1
she-smashes_thehub,https://github.com/she-smashes/thehub,,2656,1,1,JavaScript,0,604,20,-1,-1,-1
newbizme_crypt,https://github.com/newbizme/crypt,,15717,0,0,JavaScript,0,1428,16,-1,-1,-1
deskpro_react-components,https://github.com/deskpro/react-components,,3142,3,3,JavaScript,1,629,12,-1,-1,-1
DDUMozillaClub_gnome-maps,https://github.com/DDUMozillaClub/gnome-maps,,5715,0,0,JavaScript,0,2669,251,-1,-1,-1
JE5143_agarserv,https://github.com/JE5143/agarserv,,2491,0,0,JavaScript,0,2918,92,-1,-1,-1
cloudify-cosmo_cloudify-stage,https://github.com/cloudify-cosmo/cloudify-stage,Cloudify's New UI Framework,79656,9,9,JavaScript,7,3331,44,-1,-1,-1
dextra_dexboard,https://github.com/dextra/dexboard,Indicadores de projetos da Dextra,6121,5,5,JavaScript,1,568,26,-1,-1,-1
Augmint_augmint-sim,https://github.com/Augmint/augmint-sim,Simulating the augmint system,1440,2,2,JavaScript,2,699,14,-1,-1,-1
SkygearIO_skygear-SDK-JS,https://github.com/SkygearIO/skygear-SDK-JS,Skygear SDK for JavaScript,1737,21,21,JavaScript,34,1373,49,-1,-1,-1
yalla-coop_nightingale,https://github.com/yalla-coop/nightingale,An app that aims to help students reflect on their emotions and work out what's affecting them at school,1010,2,2,JavaScript,1,643,7,-1,-1,-1
rafaellichen_Recycling-System,https://github.com/rafaellichen/Recycling-System,Website for searching donation facilities,28068,0,0,JavaScript,2,550,8,-1,-1,-1
paypal_paypal-smart-payment-buttons,https://github.com/paypal/paypal-smart-payment-buttons,Smart Payment Buttons,1797,15,15,JavaScript,18,575,19,-1,-1,-1
ethereum_grid-ui,https://github.com/ethereum/grid-ui,"UI for Ethereum Grid, written in React",6032,34,34,JavaScript,12,631,14,-1,-1,-1
France-ioi_bebras-modules,https://github.com/France-ioi/bebras-modules,Static Include structure of Bebras Tasks JS modules,10261,0,0,JavaScript,7,1972,28,-1,-1,-1
quantstamp_qsp-protocol-audit-contract,https://github.com/quantstamp/qsp-protocol-audit-contract,Quantstamp protocol audit contracts and documentation. To be deployed on Ropsten or Mainnet,657,1,1,JavaScript,0,715,22,-1,-1,-1
lotusbase_lotus.au.dk,https://github.com/lotusbase/lotus.au.dk,Lotus Base website,32910,1,1,JavaScript,1,554,3,-1,-1,-1
psychonauts_Gather,https://github.com/psychonauts/Gather,,1193,0,0,JavaScript,8,651,10,-1,-1,-1
jachiike-madubuko_duplify,https://github.com/jachiike-madubuko/duplify,,349212,1,1,JavaScript,1,507,4,-1,-1,-1
openlayers_openlayers.github.io,https://github.com/openlayers/openlayers.github.io,OpenLayers Website Infrastructure,278606,6,6,JavaScript,22,1096,32,-1,-1,-1
Viseo_C360-Training,https://github.com/Viseo/C360-Training,,37295,3,3,JavaScript,0,1067,13,-1,-1,-1
BspbOrg_smartbirds-server,https://github.com/BspbOrg/smartbirds-server,,15346,3,3,JavaScript,0,1337,11,-1,-1,-1
iarobinson_usefulProgrammer,https://github.com/iarobinson/usefulProgrammer,A resource for those seeking to become a useful programmer,44959,0,0,JavaScript,0,2388,188,-1,-1,-1
skeate_Leaflet.buffer,https://github.com/skeate/Leaflet.buffer,Create buffers around Leaflet.draw shapes,2171,37,37,JavaScript,16,550,6,-1,-1,-1
OpenUpSA_giz-projects,https://github.com/OpenUpSA/giz-projects,GIZ Project registry ,18937,0,0,JavaScript,0,1721,8,-1,-1,-1
Authorea_squire,https://github.com/Authorea/squire,,2774,1,1,JavaScript,1,770,33,-1,-1,-1
BookingBug_bookingbug-angular-events-bower,https://github.com/BookingBug/bookingbug-angular-events-bower,,329,0,0,JavaScript,0,1451,21,-1,-1,-1
UruIT_react-seed,https://github.com/UruIT/react-seed,UruIT's react seed project,1150,66,66,JavaScript,16,583,18,-1,-1,-1
oceanprotocol_ocean-explorer,https://github.com/oceanprotocol/ocean-explorer,Explorer for Keeper-contracts,56785,2,2,JavaScript,1,2048,30,-1,-1,-1
oleg088097_NodeJS-Presentation,https://github.com/oleg088097/NodeJS-Presentation,,8819,0,0,JavaScript,1,2225,275,-1,-1,-1
NTNUI-Kite_kite-backend,https://github.com/NTNUI-Kite/kite-backend,,1561,1,1,JavaScript,0,538,7,-1,-1,-1
Lotuslwb_signInClock,https://github.com/Lotuslwb/signInClock,,170496,0,0,JavaScript,0,1912,3,-1,-1,-1
ccnydss_bioanimation,https://github.com/ccnydss/bioanimation,,1711,0,0,JavaScript,0,508,13,-1,-1,-1
smasa90_rdprez,https://github.com/smasa90/rdprez,,8195,0,0,JavaScript,0,2206,272,-1,-1,-1
QuickBlox_quickblox-javascript-sdk,https://github.com/QuickBlox/quickblox-javascript-sdk,JavaScript SDK of QuickBlox cloud backend platform,103150,89,89,JavaScript,155,2668,50,-1,-1,-1
dina-web-nrm_dina-collections,https://github.com/dina-web-nrm/dina-collections,Web-based information management system for natural history data,40749,4,4,JavaScript,2,6384,12,-1,-1,-1
sevewt_scratch-gui,https://github.com/sevewt/scratch-gui,this is the A01 scratch-gui code. And it's clone from https://github.com/LLK/scratch-gui to make secondary development,176611,0,0,JavaScript,0,5381,93,-1,-1,-1
icatproject_topcat,https://github.com/icatproject/topcat,GUI to work with multiple ICAT and IDS servers.,18396,1,1,JavaScript,8,2164,25,-1,-1,-1
realtimerealbook_rtrb-web,https://github.com/realtimerealbook/rtrb-web,Front end web for rtrb,6560,0,0,JavaScript,1,575,5,-1,-1,-1
sbstnmsch_catyamood,https://github.com/sbstnmsch/catyamood,A simple firebase app for scrum retrospectives,2640,1,1,JavaScript,0,872,6,-1,-1,-1
