name,url,description,size,stars,watchers,language,forks,commits,authors,lines_of_code,lines_of_comments,lines_blank
annefou_2018-10-11-Uppsala-SWC,https://github.com/annefou/2018-10-11-Uppsala-SWC,"Software Carpentry workshop 10-11 October 2018, Upsalla, Sweden",3025,0,0,Python,1,1338,143,-1,-1,-1
scrapinghub_shub,https://github.com/scrapinghub/shub,Scrapinghub Command Line Client,1071,84,84,Python,52,907,60,-1,-1,-1
open-ods_open-ods,https://github.com/open-ods/open-ods,REST API for serving NHS ODS data,46319,3,3,Python,1,938,11,-1,-1,-1
resource-watch_nrt-scripts,https://github.com/resource-watch/nrt-scripts,Scripts to generate data of real time datasets,834,2,2,Python,5,962,23,-1,-1,-1
UofTCoders_2018-01-18-utoronto,https://github.com/UofTCoders/2018-01-18-utoronto,,1773,0,0,Python,0,1126,116,-1,-1,-1
zooniverse_hco-experiments,https://github.com/zooniverse/hco-experiments,,2507,2,2,Python,3,891,8,-1,-1,-1
openstack_python-designateclient,https://github.com/openstack/python-designateclient,OpenStack DNS As A Service (Designate) Client,1212,47,47,Python,8,1617,120,-1,-1,-1
gltn_stdm,https://github.com/gltn/stdm,"STDM is a free and open source pro-poor land recordation system based on QGIS, PostgreSQL and PostGIS.",48267,20,20,Python,26,3483,27,-1,-1,-1
OpenPythons_OpenPython,https://github.com/OpenPythons/OpenPython,Micropython for OpenComputer,4139,16,16,Python,4,670,1,-1,-1,-1
TaewonHeo_manim,https://github.com/TaewonHeo/manim,,8600,0,0,Python,0,2343,45,-1,-1,-1
hu4012_flask,https://github.com/hu4012/flask,learn flask,3623,0,0,Python,0,3457,604,-1,-1,-1
gae-init_gae-init-docs,https://github.com/gae-init/gae-init-docs,Documentation and Tutorial for gae-init,7803,13,13,Python,23,2899,41,-1,-1,-1
hasura_platform-docs,https://github.com/hasura/platform-docs,Documentation for the Hasura platform,59615,25,25,Python,17,1580,52,-1,-1,-1
jussienko_2018-11-11-CSC,https://github.com/jussienko/2018-11-11-CSC,,2975,0,0,Python,0,1332,142,-1,-1,-1
TENET-RCCPII_2018-11-12-UFH-Alice,https://github.com/TENET-RCCPII/2018-11-12-UFH-Alice,,1685,0,0,Python,0,1150,119,-1,-1,-1
bornhack_bornhack-website,https://github.com/bornhack/bornhack-website,Django project to power BornHack,70710,2,2,Python,19,1942,29,-1,-1,-1
allink_allink-core,https://github.com/allink/allink-core,,5742,2,2,Python,0,1036,6,-1,-1,-1
StyXman_elevation,https://github.com/StyXman/elevation,Scripts for generating maps based in OSM and SRTM,1630,2,2,Python,2,755,9,-1,-1,-1
ph4r05_polynomial-distinguishers,https://github.com/ph4r05/polynomial-distinguishers,BoolTest - polynomial randomness tester,11056,5,5,Python,5,618,1,-1,-1,-1
fpsom_2019-01-10-elixir-athens,https://github.com/fpsom/2019-01-10-elixir-athens,,3619,0,0,Python,2,1349,146,-1,-1,-1
nllz_IRTF-HRPC,https://github.com/nllz/IRTF-HRPC,Files of IRTF HRPC research group,33105,19,19,Python,21,882,19,-1,-1,-1
jtimon_elements-explorer,https://github.com/jtimon/elements-explorer,,4298,11,11,Python,3,1203,8,-1,-1,-1
emanjavacas_seqmod,https://github.com/emanjavacas/seqmod,Sequence modelling with pytorch,1276,7,7,Python,5,700,3,-1,-1,-1
wyolum_TouchSelfie,https://github.com/wyolum/TouchSelfie,"Open Source Photobooth based on the official Raspberry Pi 7"" Touchscreen",132150,34,34,Python,61,569,15,-1,-1,-1
dPys_PyNets,https://github.com/dPys/PyNets,A Fully-Automated Workflow for Reproducible Ensemble Graph Analysis of Functional and Structural Connectomes,704593,57,57,Python,23,679,15,-1,-1,-1
Anyz01_chainer,https://github.com/Anyz01/chainer,A flexible framework of neural networks for deep learning,27591,0,0,Python,0,26002,342,-1,-1,-1
Gauravjsh127_openBMCFSP2-V2,https://github.com/Gauravjsh127/openBMCFSP2-V2,"openBMC(Branch created on 18th July 2018 from upstream openBMC ): Adding support for fsp2-ppc ,fsp2-x86 and system-q-fsp2",34942,1,1,Python,0,3968,110,-1,-1,-1
acaciawater_acaciadata,https://github.com/acaciawater/acaciadata,Basis app voor acaciadata.com sites,2980,0,0,Python,0,911,6,-1,-1,-1
openstack_osc-lib,https://github.com/openstack/osc-lib,OpenStackClient plugin library support,1210,12,12,Python,7,1910,177,-1,-1,-1
ychnlgy_DeepConsensus-experimental-FROZEN,https://github.com/ychnlgy/DeepConsensus-experimental-FROZEN,Using the consensus of low and high level features for robust classification.,3683,1,1,Python,0,1382,2,-1,-1,-1
oisdk_team-software-project,https://github.com/oisdk/team-software-project,,10417,1,1,Python,7,2070,22,-1,-1,-1
apertium_apertium-tat,https://github.com/apertium/apertium-tat,Apertium linguistic data for Tatar,85753,1,1,Python,3,2179,19,-1,-1,-1
stephanebetbeder_Moultimmediat,https://github.com/stephanebetbeder/Moultimmediat,,10061,0,0,Python,0,1524,56,-1,-1,-1
JakeBV_assis,https://github.com/JakeBV/assis,,2125,0,0,Python,0,588,1,-1,-1,-1
paulosjd_aurnapi,https://github.com/paulosjd/aurnapi,,683,1,1,Python,0,555,3,-1,-1,-1
vladalexeev_grid-paint,https://github.com/vladalexeev/grid-paint,,2460,0,0,Python,0,806,6,-1,-1,-1
makinacorpus_django-mapentity,https://github.com/makinacorpus/django-mapentity,Generic CRUD for geographic data,20091,27,27,Python,12,4811,30,-1,-1,-1
openstack_kingbird,https://github.com/openstack/kingbird,Centralized service for multi-region deployments.,1098,23,23,Python,4,1304,53,-1,-1,-1
cinnamon4-debian_cinnamon-screensaver,https://github.com/cinnamon4-debian/cinnamon-screensaver,,3444,0,0,Python,0,872,34,-1,-1,-1
pacoqueen_ginn,https://github.com/pacoqueen/ginn,Geotex-INN,312210,5,5,Python,0,2688,8,-1,-1,-1
thorrak_fermentrack,https://github.com/thorrak/fermentrack,A replacement web interface for BrewPi,5047,46,46,Python,18,984,10,-1,-1,-1
glormph_kantele,https://github.com/glormph/kantele,Lab proteomics raw and search data management,1334,2,2,Python,1,563,3,-1,-1,-1
SylvainDe_ComicBookMaker,https://github.com/SylvainDe/ComicBookMaker,Script to fetch webcomics and use them to create ebooks.,691,18,18,Python,3,703,5,-1,-1,-1
Prakasaka_Mybub,https://github.com/Prakasaka/Mybub,,508,0,0,Python,0,601,38,-1,-1,-1
