name,url,description,size,stars,watchers,language,forks,commits,authors,lines_of_code,lines_of_comments,lines_blank
vpulim_node-soap,https://github.com/vpulim/node-soap,A SOAP client and server for node.js.,1884,2326,2326,JavaScript,1242,2337,657,-1,-1,-1
Kiri23_MEAN-Stack-Authentication,https://github.com/Kiri23/MEAN-Stack-Authentication,This is the repository for a full stack web application made with angular 2 and node.js. Have slack integration and Sentry.io for error reporting.,34975,0,0,JavaScript,0,824,11,-1,-1,-1
thonny_thonny,https://github.com/thonny/thonny,Python IDE for beginners,17490,213,213,Python,71,2802,42,-1,-1,-1
BookingBug_bookingbug-angular-admin-bower,https://github.com/BookingBug/bookingbug-angular-admin-bower,,758,0,0,JavaScript,0,1638,23,-1,-1,-1
eric-erki_NiftyNet,https://github.com/eric-erki/NiftyNet,An open-source convolutional neural networks platform for research in medical image analysis and image-guided therapy,8484,1,1,Python,1,2988,53,-1,-1,-1
paulshorey_ps,https://github.com/paulshorey/ps,My personal homepage,686249,0,0,JavaScript,0,856,10,-1,-1,-1
mun-swc-hub_2018-03-12-mun,https://github.com/mun-swc-hub/2018-03-12-mun,"Software Carpentry Workshop, March 12 & 13 2018 at Memorial University",1671,2,2,Python,0,1138,117,-1,-1,-1
nengo_nengo-dl,https://github.com/nengo/nengo-dl,Deep learning integration for Nengo,27878,26,26,Python,8,711,17,-1,-1,-1
Relyk-x_Vixen,https://github.com/Relyk-x/Vixen,Discord bot.,588,0,0,Python,0,693,2,-1,-1,-1
bigearth_bitcoincashjs-lib,https://github.com/bigearth/bitcoincashjs-lib,Bitcoin Cash fork of bitcoinjs-lib,2971,2,2,JavaScript,5,2143,74,-1,-1,-1
tolosap_gesane-cliente-paciente,https://github.com/tolosap/gesane-cliente-paciente,,5498,0,0,JavaScript,0,636,45,-1,-1,-1
dulibrarytech_digitaldu-frontend,https://github.com/dulibrarytech/digitaldu-frontend,Digital Collections DU front end,70454,1,1,JavaScript,0,661,6,-1,-1,-1
