name,url,description,size,stars,watchers,language,forks,commits,authors,lines_of_code,lines_of_comments,lines_blank
dropbox_dropbox-sdk-java,https://github.com/dropbox/dropbox-sdk-java,A Java library for the Dropbox Core API.,33154,360,360,Java,335,598,82,-1,-1,-1
damianszczepanik_cucumber-reporting,https://github.com/damianszczepanik/cucumber-reporting,HTML reports for Cucumber,22430,348,348,Java,286,1504,157,-1,-1,-1
Netflix_eureka,https://github.com/Netflix/eureka,AWS Service registry for resilient mid-tier load balancing and failover.,11740,8012,8012,Java,2212,2854,156,-1,-1,-1
Netflix_dyno,https://github.com/Netflix/dyno,Java client for Dynomite,7219,159,159,Java,80,702,66,-1,-1,-1
katzer_cordova-plugin-local-notifications,https://github.com/katzer/cordova-plugin-local-notifications,Cordova Local-Notification Plugin,42626,2239,2239,Java,1400,1298,191,-1,-1,-1
crossbario_autobahn-java,https://github.com/crossbario/autobahn-java,WebSocket & WAMP in Java for Android and Java 8,5108,1313,1313,Java,411,971,40,-1,-1,-1
joshjdevl_libsodium-jni,https://github.com/joshjdevl/libsodium-jni,(Android) Networking and Cryptography Library (NaCL) JNI binding. JNI is utilized for fastest access to native code. Accessible either in Android or Java application. Uses SWIG to generate Java JNI bindings. SWIG definitions are extensible to other languages.,1515,128,128,Java,65,870,47,-1,-1,-1
northbright_Notes,https://github.com/northbright/Notes,Development Notes,16788,144,144,Java,51,1036,2,-1,-1,-1
lukas-krecan_ShedLock,https://github.com/lukas-krecan/ShedLock,Distributed lock for your scheduled tasks,863,673,673,Java,133,533,31,-1,-1,-1
gsantner_markor,https://github.com/gsantner/markor,Text editor - Notes & ToDo (for Android). Supporting Markdown and todo.txt,14096,570,570,Java,107,3152,131,-1,-1,-1
openzipkin_zipkin,https://github.com/openzipkin/zipkin,Zipkin is a distributed tracing system,46681,11297,11297,Java,2023,6704,325,-1,-1,-1
spring-cloud_spring-cloud-cli,https://github.com/spring-cloud/spring-cloud-cli,Spring Cloud CLI features,240594,112,112,Java,61,2026,31,-1,-1,-1
forge_roaster,https://github.com/forge/roaster,A Java Parser library that allows easy parsing and formatting of Java source files,1666,409,409,Java,76,840,48,-1,-1,-1
MobiVM_robovm,https://github.com/MobiVM/robovm,"Ahead of time compiler for JVM bytecode targetting iOS, Mac OSX and Linux",168211,473,473,Java,84,1330,60,-1,-1,-1
proninyaroslav_libretorrent,https://github.com/proninyaroslav/libretorrent,Free as in Freedom torrent client for Android. Mirrored from https://gitlab.com/proninyaroslav/libretorrent,5937,627,627,Java,118,520,41,-1,-1,-1
guooscar_JazminServer,https://github.com/guooscar/JazminServer,"Java based application,rpc,message,rtmp,game,sip,rtp,relay,webrtc,webssh,proxy server,message  queue,mysql proxy server",288687,202,202,Java,123,839,14,-1,-1,-1
lukas-krecan_JsonUnit,https://github.com/lukas-krecan/JsonUnit,Compare JSON in your Unit Tests,1646,365,365,Java,63,712,26,-1,-1,-1
lerry903_RuoYi,https://github.com/lerry903/RuoYi,基于SpringBoot2.1的权限管理系统 易读易懂、界面简洁美观。 核心技术采用Spring、MyBatis、Shiro没有任何其它重度依赖。直接运行即可用,12505,324,324,Java,116,500,33,-1,-1,-1
apache_apex-malhar,https://github.com/apache/apex-malhar,Mirror of Apache Apex malhar,91929,127,127,Java,151,9483,196,-1,-1,-1
zstackio_zstack,https://github.com/zstackio/zstack,ZStack - the open-source IaaS software http://zstack.org (国内用户请至 http://zstack.io),68845,679,679,Java,264,12159,122,-1,-1,-1
etcd-io_jetcd,https://github.com/etcd-io/jetcd,etcd java client,1550,510,510,Java,165,1056,70,-1,-1,-1
futurice_meeting-room-tablet,https://github.com/futurice/meeting-room-tablet,Google Apps compatible meeting room reservator,4287,155,155,Java,53,754,56,-1,-1,-1
apache_activemq,https://github.com/apache/activemq,Mirror of Apache ActiveMQ,54394,1511,1511,Java,1048,17104,293,-1,-1,-1
owncloud_android,https://github.com/owncloud/android,:phone: The ownCloud Android App,218594,2820,2820,Java,2795,12109,262,-1,-1,-1
NationalSecurityAgency_timely,https://github.com/NationalSecurityAgency/timely,Accumulo backed time series database,5674,322,322,Java,92,949,90,-1,-1,-1
